"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"41","63563473556","Gazeta Wyborcza","George Clooney markê Casamigos za³o¿y³ cztery lata temu. Ale ju¿ wtedy przewidzia³ ile bêdzie warta. A jest warta niema³o.","2017-06-22T21:29:00+0000","link","http://wyborcza.pl/7,155287,21992250,clooney-sprzedal-wlasna-marke-tequili-za-1-mld-dolarow.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155006071788557",,21,3,1
"42","63563473556","Gazeta Wyborcza","Czy afera podatkowa w hiszpañskiej pi³ce zagra¿a wycenianemu na ponad miliard dolarów imperium superagenta Jorge Mendesa? Oskar¿onych jest siedmiu jego klientów od Cristiano Ronaldo po José Mourinho.","2017-06-22T20:40:00+0000","link","http://wyborcza.pl/7,154903,21996692,podatki-bogow-futbolu-polowanie-na-superagenta-jorge-mendesa.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155006054793557",,9,0,2
"43","63563473556","Gazeta Wyborcza","Olimpiada w najbardziej bezwzglêdnej dyktaturze œwiata?","2017-06-22T19:57:00+0000","link","http://wyborcza.pl/7,75968,21996932,olimpiada-w-dwoch-koreach-dokad-mozna-zjechac-na-nartach-u.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155006043573557",,12,6,2
"44","63563473556","Gazeta Wyborcza","Prezydent Trump ucieka z Waszyngtonu - gdzie nie ma dobrej prasy, a nad jego administracj¹ wisz¹ widma œledztw - i rusza w kraj","2017-06-22T18:59:44+0000","link","http://wyborcza.pl/7,75399,21996479,niezwyciezony-donald-trump-odtrabil-sukces-na-wiecu.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155006021213557",,11,5,2
"45","63563473556","Gazeta Wyborcza","Po wybuchu skandalu w maju ministerstwo zapowiedzia³o dodatkowe kontrole oraz reformê armii. ¯o³nierze maj¹ m.in. przechodziæ kursy polityczne polegaj¹ce na wybijaniu im z g³ów ekstremistycznych pogl¹dów.","2017-06-22T18:28:34+0000","link","http://wyborcza.pl/7,75399,21996589,czy-niemiecka-minister-obrony-to-ksiezniczka-na-lodzie-jej.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005954943557",,26,14,4
"46","63563473556","Gazeta Wyborcza","Badacze pytali ludzi o stosunek do imigrantów w krajach Unii, osobiste doœwiadczenia i o to, jak zamierzaj¹ zag³osowaæ. Wnioski mog¹ Was zaskoczyæ.","2017-06-22T17:44:12+0000","link","http://wyborcza.pl/7,75399,21995199,naukowcy-zbadali-jak-codzienne-kontakty-z-imigrantami-z-ue.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005872178557",,29,13,5
"47","63563473556","Gazeta Wyborcza","Krzy¿ówka z Telewizyjn¹ ! Zapraszamy
wyborcza.pl/telewizyjna","2017-06-22T16:59:50+0000","video","https://www.facebook.com/wyborcza/videos/10155005746758557/","63563473556_10155005746758557","Gazeta Wyborcza was live.",62,856,5
"48","63563473556","Gazeta Wyborcza","Dzia³aj¹ce w Chinach biuro podró¿y Brytyjczyka Garetha Johnsona skusi³o Otto Warmbiera na wycieczkê do Korei Pó³nocnej. Amerykanin nie prze¿y³ wyprawy.","2017-06-22T16:08:21+0000","link","http://wyborcza.pl/7,75399,21995934,agencja-young-pioneer-tours-ma-w-ofercie-odlotowe-wyjazdy-do.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005640023557",,17,15,5
"49","63563473556","Gazeta Wyborcza","""Media publiczne s¹ poza jak¹kolwiek kontrol¹. Z jednym wyj¹tkiem - prezesa PiS"" - komentuje Agnieszka Kublik.","2017-06-22T15:22:29+0000","link","http://wyborcza.pl/7,75968,21995476,wiadomosci-traca-krrit-sie-poddala-czyli-jak-pis-robi-media.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005539208557",,43,12,11
"50","63563473556","Gazeta Wyborcza","G³ówn¹ decyzj¹ obraduj¹cego szczytu UE bêdzie zielone œwiat³o dla stworzenia PESCO - sta³ych struktur wspó³pracy obronnej dla krajów Unii. Z Polski p³yn¹ niespójne sygna³y - widaæ zainteresowanie MSZ i wielk¹ niechêæ MON.","2017-06-22T14:36:04+0000","link","http://wyborcza.pl/7,75399,21994885,europa-wlacza-pierwsza-predkosc-obronna-z-polska-czy-bez-polski.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza","63563473556_10155005432673557",,57,10,15
